"word"	" definition"	" concepts"			
"concrete"	"capable of being perceived by the senses; not abstract or imaginary"	"object tree"			
"concrete"	"formed by the coalescence of particles"				
"reverse"	"directed or moving toward the rear"	"movement glance rearward"			
"reverse"	"of the transmission gear causing backward movement in a motor vehicle"	"reverse gear"			
"reverse"	"reversed (turned backward) in order or nature or effect"				
"discordant"	"not in agreement or harmony"	"idea view"			
"discordant"	"lacking in harmony"				
"steady"	"not subject to change or variation especially in behavior"	"job ballplayer breeze beat increase"			
"steady"	"not liable to fluctuate or especially to fall"	"stock"			
"steady"	"securely in position; not shaky"	"ladder"			
"steady"	"marked by firm determination or resolution; not shakable"	"perseverence mouth man firm loyalty resolve conviction steadfast"			
"steady"	"relating to a person who does something regularly"	"customer drinker"			
"steady"	"not easily excited or upset"	"nerve"			
"forward"	"at or near or directed toward the front"	"plunge motion section aircraft stair"			
"forward"	"used of temperament or behavior; lacking restraint or modesty"	"child need discipline forward"			
"forward"	"of the transmission gear causing forward movement in a motor vehicle"	"gear forward"			
"forward"	"moving forward"				
"willing"	"disposed or inclined toward"	"participant helper"			
"willing"	"not brought about by coercion or force"	"confession"			
"loose"	"not compact or dense in structure or arrangement"	"gravel"			
"loose"	"(of a ball in sport) not in the possession or control of any player"	"ball"			
"loose"	"not tight; not closely constrained or constricted or constricting"	"shoe clothing"			
"loose"	"not officially recognized or controlled"	"farmer organization agreement"			
"loose"	"not literal"	"poem interpretation translation"			
"loose"	"emptying easily or excessively"	"bowel"			
"loose"	"not affixed"	"stamp"			
"loose"	"not tense or taut"	"slack man grey hung rope sail skin"			
"loose"	"(of textures) full of small openings or gaps"	"weave texture"			
"loose"	"lacking a sense of restraint or responsibility"	"talk tongue"			
"loose"	"not carefully arranged in a package"	"box nail"			
"loose"	"having escaped"	" especially from confinement"	"criminal dog neighborhood street convict loose prisoner"		
"loose"	"casual and unrestrained in sexual behavior"	"woman behavior light wanton virtue"			
"backward"	"directed or facing toward the back or rear"	"backward view"			
"backward"	"(used of temperament or behavior) marked by a retiring nature"	"backward lover"			
"backward"	"retarded in intellectual development"				
"backward"	"having made less than normal progress"	"country"			
"sorry"	"feeling or expressing regret or sorrow or a sense of loss over something done or undone"	"youth regretful mistake vase"			
"sorry"	"bad; unfortunate"	"shape clothes finance state decision affair"			
"sorry"	"without merit"	"junk goldbrick no-count sorry horse excuse piece car"			
"sorry"	"causing dejection"	"winter landscape week disconsolate weather rainy day war November"			
"valid"	"well grounded in logic or truth or having legal force"	"argument contract inference"			
"valid"	"still legally acceptable"	"license"			
"passing"	"lasting a very short time"	"joy passing youth childhood blossom love beauty fancy"			
"passing"	"of advancing the ball by throwing it"	"pas passing play team attack"			
"passing"	"allowing you to pass (e.g."	" an examination or inspection) satisfactorily"	"grade passing"		
"passing"	"hasty and without attention to detail; not thorough"	"perfunctory house glance passing courtesy flaw cursory inspection"			
"simple"	"having few parts; not complex or complicated or involved"	"mechanism substance problem simple design"			
"simple"	"easy and not involved or complicated"	"game Watson problem statistic solution"			
"simple"	"apart from anything else; without additions or modifications"	"passage time fact truth bare idea"			
"simple"	"exhibiting childlike simplicity and credulity"	"innocence trust wonder childlike"			
"simple"	"lacking mental capacity and subtlety"				
"simple"	"(botany) of leaf shapes; of leaves having no divisions or subdivisions"				
"simple"	"unornamented"	"dress schoolhouse country"			
"false"	"not in accordance with the fact or reality or actuality"	"oath bravery tale testimony"			
"false"	"arising from error"	"situation assumption view"			
"false"	"erroneous and usually accidental"	"start alarm"			
"false"	"deliberately deceptive"	"pretense"			
"false"	"inappropriate to reality or facts"	"hope drug faith expectation"			
"false"	"not genuine or real; being an imitation of the genuine article; it's real synthetic fur"""	"pearl palm anything alligator teeth imitation purse hide leaf"			
"false"	"designed to deceive"	"bottom suitcase"			
"false"	"inaccurate in pitch"	"singing note"			
"false"	"adopted in order to deceive"	"interest cheerfulness sham address voice modesty name sympathy"			
"false"	"(used especially of persons) not dependable in devotion or affection; unfaithful"	"friend lover"			
"direct"	"direct in spatial dimensions; proceeding without deviation or interruption; straight and short"	"flight route hit"			
"direct"	"having no intervening persons"	" agents"	" conditions"	"link vote exposure contact sunlight voter disease cause accident"	
"direct"	"straightforward in means or manner or behavior or language or action"	"question approach response"			
"direct"	"in a straight unbroken line of descent from parent to child"	"lineal heir ancestor heredity descendant king"			
"direct"	"moving from west to east on the celestial sphere; or--for planets--around the sun in the same direction as the Earth"				
"direct"	"similar in nature or effect or relation to another quantity"	"term increase proportion"			
"direct"	"(of a current) flowing in one direction only"				
"direct"	"being an immediate result or consequence"	"accident result"			
"direct"	"in precisely the same words used by a writer or speaker"	"verbatim quotation dialog"			
"direct"	"lacking compromising or mitigating elements; exact"	"opposite"			
"broken"	"physically and forcibly separated into pieces or cracked or split"	"neck leg tooth mirror"			
"broken"	"not continuous in space"	" time"	" or sequence or varying abruptly"	"stub transmission cable line defense sob sleep note"	
"broken"	"subdued or brought low in condition or status"	"man broken spirit"			
"broken"	"(especially of promises or contracts) having been violated or disregarded"	"contract broken unkept promise"			
"broken"	"tamed or trained to obey"	"horse nag broken saddle"			
"broken"	"topographically very uneven"	"broken terrain ground"			
"broken"	"imperfectly spoken or written"	"English"			
"broken"	"thrown into a state of disarray or confusion"	"mass troop desk room rank everything paper"			
"broken"	"weakened and infirm"	"health alcoholism"			
"broken"	"destroyed financially"	"family fortune"			
"broken"	"out of working order (`busted' is an informal substitute for `broken')"	"machine coke washing"			
"broken"	"discontinuous"	"sunshine cloud"			
"broken"	"lacking a part or parts"	"encyclopedia set"			
"serious"	"concerned with work or important matters rather than play or trivialities"	"history look man student attempt joking"			
"serious"	"of great consequence"	"marriage matter"			
"serious"	"causing fear or anxiety by threatening great harm"	"event pneumonia turn illness situation grave disease wound case harm operation"			
"serious"	"appealing to the mind"	"book music"			
"serious"	"completely lacking in playfulness"				
"serious"	"requiring effort or concentration; complex and not easy to answer or solve"	"proposal flaw plan objection"			
"symbolic"	"relating to or using or proceeding by means of symbols"	"logic operation thinking"			
"symbolic"	"serving as a visible symbol for something abstract"	"symbolic crown royalty Massachusetts wheel codfish"			
"symbolic"	"using symbolism"	"art"			
"offensive"	"violating or tending to violate or offend against"	"liberty principle humanity law violative depravity"			
"offensive"	"for the purpose of attack rather than defense"	"weapon"			
"offensive"	"causing anger or annoyance"	"remark"			
"offensive"	"morally offensive"	"scandal reputation"			
"offensive"	"unpleasant or disgusting especially to the senses"	"odor"			
"offensive"	"substitute a harsher or distasteful term for a mild one"	"`nigger term"			
"offensive"	"causing or able to cause nausea"	"stench offal nauseating smell sickening"			
"living"	"pertaining to living persons"	"memory"			
"living"	"true to life; lifelike"	"image mother living"			
"living"	"(informal) absolute"	"hell daylight doll living"			
"living"	"still in existence"	"Wollemi frontier specimen living fossil Australia thought blockhouse conifer Pennsylvania pine"			
"living"	"still in active use"	"language living"			
"living"	"(used of minerals or stone) in its natural state and place; not mined or quarried; "	"stone living"			
"evil"	"morally bad or wrong"	"purpose deed influence"			
"evil"	"having the nature of vice"				
"evil"	"having or exerting a malignant influence"	"malevolent force star malefic"			
"friendly"	"characteristic of or befitting a friend"	"advice neighborhood person host hostess"			
"friendly"	"inclined to help or support; not antagonistic or hostile"	"interest agreement government"			
"friendly"	"easy to understand or use"	"policy computer novel"			
"friendly"	"of or belonging to your own country's forces or those of an ally"	"fire territory"			
"tough"	"not given to gentleness or sentimentality"	"character"			
"tough"	"very difficult; severely testing stamina or resolution"	"job condition examination life competition"			
"tough"	"physically toughened"	"bottom foot"			
"tough"	"substantially made or constructed"	"metal shelf fabric canvas all-weather plastic steel"			
"tough"	"violent and lawless"	"gang street element"			
"tough"	"feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"	"restless night feel throat"			
"tough"	"resistant to cutting or chewing"				
"tough"	"unfortunate or hard to bear"	"break luck"			
"tough"	"making great mental demands; hard to comprehend or solve or believe"	"baffling breakfast home knotty situation problem"			
"unfixed"	"not firmly placed or set or fastened"				
"unfixed"	"lacking definition or definite content"	"notion reason men Austen Jane"			
"cut"	"separated into parts or laid open or penetrated with a sharp edge or instrument"	"forehead bandage wrist surface blood tobacco cut"			
"cut"	"fashioned or shaped by cutting"	"velvet suit diamond cut"			
"cut"	"with parts removed"	"film"			
"cut"	"made neat and tidy by trimming"	"hair"			
"cut"	"(used of grass or vegetation) cut down with a hand implement or machine"	"hay smell"			
"cut"	"(of pages of a book) having the folds of the leaves trimmed or slit"	"page book cut"			
"cut"	"(of a male animal) having the testicles removed"	"horse cut"			
"cut"	"(used of rates or prices) reduced usually sharply"	"buyer price"			
"cut"	"mixed with water"	"soup cup whiskey cut"			
"low"	"less than normal in degree or intensity or amount"	"reservoir price"			
"low"	"literal meanings; being at or having a relatively small elevation or upward extension"	"ceiling furniture bow cloud hill sun"			
"low"	"very low in volume"	"surf murmur"			
"low"	"unrefined in character"	"comedy"			
"low"	"used of sounds and voices; low in pitch or frequency"				
"low"	"of the most contemptible kind"	"treatment sneak rabble cowardice trick scummy skunk family stunt scurvy"			
"low"	"low or inferior in station or quality"	"beginning cottage people priest man"			
"low"	"no longer sufficient"	"supply fund"			
"low"	"subdued or brought low in condition or status"	"man broken spirit"			
"low"	"filled with melancholy and despondency"	"job face downcast defeat silence view city economy loss prediction expression thought mood gloomy darkening"			
"clean"	"free from dirt or impurities; or having clean habits"	"animal shirt house dish child cat"			
"clean"	"free of restrictions or qualifications"	"winner health bill"			
"clean"	"(of sound or color) free from anything that dulls or dims"	"red recording blue laughter bell voice effort waterfall bass silver"			
"clean"	"free from impurities"	"water air"			
"clean"	"(of a record) having no marks of discredit or offense"	"driver record voting license"			
"clean"	"ritually clean or pure"				
"clean"	"not spreading pollution or contamination; especially radioactive contamination"	"fuel engine bomb"			
"clean"	"(of behavior or especially language) free from objectionable elements; fit for all observers"	"clean joke fun"			
"clean"	"free from sepsis or infection"	"wound"			
"clean"	"morally pure"	"life"			
"clean"	"(of a manuscript) having few alterations or corrections"	"manuscript copy"			
"clean"	"(of a surface) not written or printed on"	"margin fill page blank space"			
"clean"	"exhibiting or calling for sportsmanship or fair play"	"disagreement sportsmanlike conduct fight solution"			
"clean"	"without difficulties or problems"	"flight test"			
"clean"	"thorough and without qualification"	"getaway sweep break"			
"clean"	"not carrying concealed weapons"				
"clean"	"free from clumsiness; precisely or deftly executed"	"surgeon cheek throw left opponent knife exactness"			
"clean"	"free of drugs"	"dependency year heroin"			
"uncomfortable"	"conducive to or feeling mental discomfort"	"life conference eye truth presence teacher kind way"			
"uncomfortable"	"providing or experiencing physical discomfort"	"day chair sun"			
"conscious"	"intentionally conceived"	"policy effort"			
"conscious"	"knowing and perceiving; having awareness of surroundings and sensations and thoughts"	"operation fault"			
"conscious"	"(followed by `of') showing realization or recognition of something"	"load Hardy issue conscious voter tread Thomas importance"			
"busy"	"actively or fully engaged or occupied"	"man work lunch"			
"busy"	"overcrowded or cluttered with detail"	"painting design"			
"busy"	"intrusive in a meddling or offensive manner"	"interfering people woman nuisance business"			
"busy"	"crowded with or characterized by much activity"	"seaport street life week"			
"busy"	"(of facilities such as telephones or lavatories) unavailable for use by anyone else or indicating unavailability; (`engaged' is a British term for a busy telephone line)"	"lavatory telephone signal line receptionist use"			
"diffuse"	"spread out; not concentrated in one place"	"organization diffuse"			
"diffuse"	"(of light) transmitted from a broad light source or reflected"				
"diffuse"	"lacking conciseness"	"novel diffuse"			
"aggressive"	"having or showing determination and energetic pursuit of your ends; positive in his convictions"""	"player driver businessman basketball"			
"aggressive"	"tending to spread quickly"	"tumor"			
"aggressive"	"characteristic of an enemy or one eager to fight"	"tone country act belligerent"			
"hard"	"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"	"cliff task place time access"			
"hard"	"dispassionate; "	"bargainer look"			
"hard"	"resisting weight or pressure"				
"hard"	"very strong or vigorous"	"left blow knockout punch chin wind"			
"hard"	"characterized by effort to the point of exhaustion; especially physical effort"	"labor grueling campaign project pace work hour valley mining way"			
"hard"	"produced without vibration of the vocal cords"	"`k consonant `p `s"			
"hard"	"(of light) transmitted directly from a pointed light source"				
"hard"	"(of speech sounds); produced with the back of the tongue raised toward or touching the velum"	"consonant"			
"hard"	"given to excessive indulgence of bodily appetites especially for intoxicating liquors"	"drinker"			
"hard"	"being distilled rather than fermented; having a high alcoholic content"	"liquor"			
"hard"	"unfortunate or hard to bear"	"break luck"			
"hard"	"dried out"	"day dry roll"			
"protective"	"intended or adapted to afford protection of some kind"	"mask covering animal sailor equipment coloring coating use tariff custody"			
"protective"	"showing care"	"mother"			
"protective"	"(usually followed by `of') solicitously caring or mindful"	"protective reputation"			
"hot"	"used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning"	"forehead stuffy room stove August water day"			
"hot"	"characterized by violent and forceful activity or movement; very intense"	"raging battle river engagement torrent fighting"			
"hot"	"extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm"	"topic book love argument temper affair"			
"hot"	"(color) bold and intense"	"pink"			
"hot"	"sexually excited or exciting"	"pant"			
"hot"	"recently stolen or smuggled"	"car merchandise"			
"hot"	"very fast; capable of quick response and great speed"	"start sport blistering pace line drive pursuit car"			
"hot"	"wanted by the police"	"suspect"			
"hot"	"producing a burning sensation on the taste nerves"	"jalapeno pepper salsa"			
"hot"	"performed or performing with unusually great skill and daring and energy"	"tonight drummer"			
"hot"	"very popular or successful"	"talent season cabbage patch doll"			
"hot"	"very unpleasant or even dangerous"	"water seat"			
"hot"	"newest or most recent"	"press information news"			
"hot"	"having or bringing unusually good luck"	"tonight dice crap hot"			
"hot"	"very good; often used in the negative"	"math history"			
"hot"	"newly made"	"scent"			
"hot"	"having or showing great eagerness or enthusiasm"	"travel"			
"hot"	"of a seeker; very near to the object sought"				
"hot"	"having or dealing with dangerously high levels of radioactivity"	"fuel rod laboratory"			
"hot"	"charged or energized with electricity"	"wire"			
"hot"	"marked by excited activity"	"stock market week"			
"shut"	"not open"	"door shut"			
"shut"	"used especially of mouth or eyes"	"sunlight eye"			
"regular"	"in accordance with fixed order or procedure or principle"	"meal duty customer call"			
"regular"	"often used as intensifiers"	"nincompoop swine morass detail"			
"regular"	"conforming to a standard or pattern"	"legislature outlet procedure"			
"regular"	"regularly scheduled for fixed times"	"PTA meeting bus departure"			
"regular"	"in accord with regular practice or procedure"	"walk bedtime morning"			
"regular"	"occurring at fixed intervals"	"rhythm beat breathing"			
"regular"	"relating to a person who does something regularly"	"customer drinker"			
"regular"	"(used of the military) belonging to or engaged in by legitimate army forces"	"army"			
"regular"	"(of solids) having clear dimensions that can be measured; volume can be determined with a suitable geometric formula"				
"regular"	"not constipated"				
"regular"	"symmetrically arranged"	"polygon feature"			
"regular"	"not deviating from what is normal"	"bedtime"			
"regular"	"officially full-time"	"student"			
"deep"	"relatively deep or strong; affecting one deeply"	"trance sigh emotion sleep breath concentration"			
"deep"	"marked by depth of thinking"	"thought allegory"			
"deep"	"having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination"	"yard muscle field closet receptor shelf center casserole dive well water massage ball gash space pressure"			
"deep"	"very distant in time or space"	"territory wood probe past space"			
"deep"	"extreme"	"trouble happiness"			
"deep"	"having or denoting a low vocal or instrumental range"	"voice bass clarinet baritone"			
"deep"	"strong; intense"	"purple"			
"deep"	"relatively thick from top to bottom"	"snow carpet"			
"deep"	"extending relatively far inward"	"border"			
"deep"	"(of darkness) very intense"	"face night thick darkness shadow"			
"deep"	"large in quantity or size"	"budget cut"			
"deep"	"with head or back bent low"	"bow"			
"deep"	"of an obscure nature"	"Providence working land policy Rachel insurance Carson life ritual term dark dim visitor secret origin"			
"deep"	"difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge"	"lecture student recondite problem historiography metaphysical professor theory"			
"deep"	"exhibiting great cunning usually with secrecy"	"plot machination"			
"dirty"	"soiled or likely to soil with dirt or grime"	"job dish sheet sidewalk foot shirt child overall pile work slum dirty sister Cinderella mining"			
"dirty"	"(of behavior or especially language) characterized by obscenity or indecency"	"movie mouth joke man book word dirty boy"			
"dirty"	"vile; despicable"	"traitor trick dirty"			
"dirty"	"spreading pollution or contamination; especially radioactive contamination"	"amount bomb radioactive fallout foundry air"			
"dirty"	"contaminated with infecting organisms"	"room Austen dirty wound Jane"			
"dirty"	"(of color) discolored by impurities; not bright and clear"	"hair dingy combination grey wall sea dirty color muddy"			
"dirty"	"(of a manuscript) defaced with changes"	"foul dirty copy"			
"dirty"	"obtained illegally or by improper means"	"gain money dirty"			
"dirty"	"expressing or revealing hostility or dislike"	"dirty look"			
"dirty"	"violating accepted standards or rules"	"power behavior dirty serve fighter foul unsporting"			
"dirty"	"unethical or dishonest"	"police officer campaign"			
"dirty"	"unpleasantly stormy"	"offing weather dirty"			
"dramatic"	"suitable to or characteristic of drama"	"swirling rescue sea cape entrance"			
"dramatic"	"sensational in appearance or thrilling in effect"	"display pause sunset sensation play light look"			
"dramatic"	"pertaining to or characteristic of drama"	"art"			
"dramatic"	"used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"	"tenor soprano"			
"joint"	"united or combined"	"joint owner session Congress"			
"joint"	"affecting or involving two or more"	"return ownership"			
"joint"	"involving both houses of a legislature"	"session Congress"			
"violent"	"acting with or marked by or resulting from great force or energy or emotional intensity"	"violent dislike feeling person rage attack"			
"violent"	"effected by force or injury rather than natural causes"	"death"			
"violent"	"(of colors or sounds) intensely vivid or loud"	"violent noise dress shout color clash"			
"violent"	"marked by extreme intensity of emotions or convictions; inclined to react violently; fervid"	"fierce dislike passion tearing rage loyalty vehement"			
"violent"	"characterized by violence or bloodshed"	"fann Parke Andrea Hudson deed Gray crimson Conquest rage writes Thomas Strode day wing"			
"outer"	"being on the outside or further from a center"	"spent man hour outer suburb"			
"outer"	"located outside"	"outer reality"			
"outer"	"being on or toward the outside of the body"	"outer ear"			
"outer"	"not allowed to continue to bat or run"	"play"			
"outer"	"being out or having grown cold"	"cigarette fire stream"			
"outer"	"not worth considering as a possibility"	"picnic weather"			
"outer"	"out of power; especially having been unsuccessful in an election"	"Democrats"			
"outer"	"excluded from use or mention"	"house card fruit taboo dancing playing subject"			
"outer"	"directed outward or serving to direct something outward"	"doorway basket"			
"outer"	"no longer fashionable"	"day style"			
"outer"	"outside or external"	"surface ship hull"			
"outer"	"outer or outlying"	"island"			
"outer"	"knocked unconscious by a heavy blow"				
"wild"	"marked by extreme lack of restraint or control"	"talk party"			
"wild"	"in a natural state; not tamed or domesticated or cultivated"	"goose plant"			
"wild"	"in a state of extreme emotion"	"grief anger"			
"wild"	"deviating widely from an intended course"	"bullet pitch"			
"wild"	"(of colors or sounds) intensely vivid or loud"	"violent noise dress shout color clash"			
"wild"	"without a basis in reason or fact"	"allegation suspicion fear baseless jealousy gossip groundless"			
"wild"	"talking or behaving irrationally"	"raving"			
"wild"	"involving risk or danger"	"skydiving scheme sport fog tide"			
"wild"	"fanciful and unrealistic; foolish"	"idea importance"			
"wild"	"located in a dismal or remote area; desolate"	"island land crossroad place waste stretch wilderness desert"			
"wild"	"intensely enthusiastic about or preoccupied with"	"crazy car"			
"wild"	"without civilizing influences"	"-Margaret people tribe practice weapon fighting invader savage"			
"wild"	"(of the elements) as if showing violent anger"	"sea wind horizon cloud"			
"extinct"	"no longer in existence; lost or especially having died out leaving no living representatives"	"fish specie law family royal custom"			
"extinct"	"(of e.g. volcanos) permanently inactive"	"volcano"			
"extinct"	"being out or having grown cold"	"cigarette fire stream"			
"encouraging"	"giving courage or confidence or hope"	"advance research"			
"encouraging"	"furnishing support and encouragement"	"child need treatment teacher"			
"substantial"	"fairly large"	"margin"			
"substantial"	"having a firm basis in reality and being therefore important"	" meaningful"	" or considerable"	"equivalent"	
"substantial"	"having substance or capable of being treated as fact; not imaginary"	"world thing dream Shakespeare"			
"substantial"	"providing abundant nourishment"	"breakfast hearty meal solid day food"			
"substantial"	"of good quality and condition; solidly built"	"timber building foundation"			
"critical"	"marked by a tendency to find and call attention to errors and flaws"	"attitude"			
"critical"	"at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction"	"temperature point mass boiling water degree C pressure"			
"critical"	"characterized by careful evaluation and judgment"	"analysis reading dissertation writing Melville"			
"critical"	"urgently needed; absolutely necessary"	"interest supply element plan vital society"			
"critical"	"forming or having the nature of a turning point or crisis"	"test campaign point"			
"critical"	"being in or verging on a state of crisis or emergency"	"shortage stage illness food"			
"critical"	"of or involving or characteristic of critics or criticism"	"acclaim"			
"male"	"being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation"	"infant male"			
"male"	"characteristic of a man"	"voice sport male"			
"male"	"for or pertaining to or composed of men or boys"	"population lead"			
"troubled"	"characterized by or indicative of distress or affliction or danger or need"	"expression sleep area teenager"			
"troubled"	"characterized by unrest or disorder or insubordination"	"year effect area struggle time childhood turbulent administration"			
"premature"	"born after a gestation period of less than the normal time"	"premature infant"			
"premature"	"too soon or too hasty"	"condemnation bit premature judgment"			
"premature"	"uncommonly early or before the expected time"	"death alcohol illness premature end"			
"careful"	"exercising caution or showing care or attention"	"shoe street research careful behavior right others art restorer"			
"careful"	"cautiously attentive"	"feeling father careful heedful advice"			
"careful"	"unhurried and with care and dignity"	"pace speed"			
"careful"	"full of cares or anxiety"	"Thou thing art careful"			
"careful"	"mindful of the future in spending money"	"money"			
"reasonable"	"showing reason or sound judgment"	"choice person"			
"reasonable"	"not excessive or extreme"	"income price"			
"reasonable"	"marked by sound judgment"	"policy"			
"anaemic"	"relating to anemia or suffering from anemia"				
"anaemic"	"lacking vigor or energy"	"attempt baseball"			
"painful"	"causing physical or psychological pain"	"slowness"			
"painful"	"causing misery or pain or distress"	"trial process"			
"painful"	"exceptionally bad or displeasing"	"manner taste odor room voice handwriting workmanship performance"			
"painful"	"causing physical discomfort; they can be very painful"""	"bite irritating fly"			
"sensitive"	"responsive to physical stimuli"	"voltmeter skin mimosa leaf"			
"sensitive"	"being susceptible to the attitudes"	" feelings"	" or circumstances of others"	"need community"	
"sensitive"	"able to feel or perceive"	"part creature skin amoeba"			
"sensitive"	"hurting"	"spot jaw tender"			
"sensitive"	"of or pertaining to classified information or matters affecting national security"				
"reserved"	"set aside for the use of a particular person or party"				
"reserved"	"marked by self-restraint and reticence"	"speech opinion Sackville-West -Victoria"			
"dying"	"in or associated with the process of passing from life or ceasing to be"	"man dying fire civilization"			
"dying"	"eagerly desirous"	"show museum"			
"colourful"	"striking in variety and interest"	"history period language character"			
"colourful"	"having striking color"	"autumn leaf"			
"broad"	"having great (or a certain) extent from one side to the other"	"road foot river margin necktie shoulder mile"			
"broad"	"broad in scope or content"	"invention application power study sanction blanket violator definition human-rights nationality T.G.Winner pay increase"			
"broad"	"not detailed or specific"	"rule outline plan dread"			
"broad"	"lacking subtlety; obvious"	"time hint"			
"broad"	"being at a peak or culminating point"	"summer daylight"			
"broad"	"very large in expanse or scope"	"plain sky lawn view"			
"broad"	"(of speech) heavily and noticeably regional"	"accent"			
"broad"	"showing or characterized by broad-mindedness"	"stance opinion newspaper opponent sympathy tolerant"			
"cloudy"	"lacking definite form or limits"	"grope H.T.Moore conclusion pride conceit issue distinction"			
"cloudy"	"full of or covered with clouds"	"cloudy sky"			
"cloudy"	"(of liquids) clouded as with sediment"	"cloudy liquid water muddy coffee murky"			
"compound"	"composed of more than one part"	"compound head lobe leaf"			
"compound"	"consisting of two or more substances or ingredients or elements or parts"	"substance housetop fruit blackberry compound word soap"			
"compound"	"composed of many distinct individuals united to form a whole or colony"	"coral organism"			
"accessible"	"capable of being reached"	"rail town"			
"accessible"	"capable of being read with comprehension"	"reader tale novel"			
"accessible"	"easily obtained"	"money student computer"			
"accessible"	"easy to get along with or talk to; friendly"	"man"			
"elegant"	"refined and tasteful in appearance or behavior or style"	"fingertip church suit handwriting dark spire solution"			
"elegant"	"suggesting taste"	" ease"	" and wealth"		
"elegant"	"displaying effortless beauty and simplicity in movement or execution"	"dancer solution"			
"thirsty"	"needing moisture"	"field sky rainless"			
"thirsty"	"feeling a need or desire to drink"	"child"			
"thirsty"	"(usually followed by `for') extremely desirous"	"recognition knowledge informaton thirsty hungry"			
"thirsty"	"able to take in large quantities of moisture"	"towel thirsty"			
"dry"	"free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet"	"climate bed land river clothes paint splintery board"			
"dry"	"humorously sarcastic or mocking"	"Scottish remark smile humor wit meaning novel"			
"dry"	"lacking moisture or volatile components"	"paint"			
"dry"	"opposed to or prohibiting the production and sale of alcoholic beverages"	"bootlegger preacher vote state"			
"dry"	"not producing milk"	"cow"			
"dry"	"(of liquor) having a low residual sugar content because of decomposition of sugar during fermentation"	"burgundy Bordeaux"			
"dry"	"without a mucous or watery discharge; a small child with a dry nose"""	"wintertime cough thing"			
"dry"	"not shedding tears"	"sob eye"			
"dry"	"lacking interest or stimulation; dull and lifeless"	"juiceless John lecture knowledge life Mason dull book Brown detail"			
"dry"	"used of solid substances in contrast with liquid ones"	"weight"			
"dry"	"unproductive especially of the expected results"	"mind dry idea run"			
"dry"	"having no adornment or coloration"	"manner fact"			
"dry"	"(of food) eaten without a spread or sauce or other garnish"	"meat toast"			
"dry"	"having a large proportion of strong liquor"	"gin martini"			
"dry"	"lacking warmth or emotional involvement"	"critique line reading greeting"			
"dry"	"practicing complete abstinence from alcoholic beverages; I happen to be teetotal"""	"thank year"			
"fresh"	"recently made"	" produced"	" or harvested"	"scent lettuce bread"	
"fresh"	"(of a cycle) beginning or occurring again"	"start idea"			
"fresh"	"imparting vitality and energy"	"bracing air mountain"			
"fresh"	"original and of a kind not seen before"	"theorem computer proof"			
"fresh"	"not canned or otherwise preserved"	"vegetable"			
"fresh"	"not containing or composed of salt water"	"water"			
"fresh"	"having recently calved and therefore able to give milk"	"cow"			
"fresh"	"with restored energy"				
"fresh"	"not soured or preserved"	"milk"			
"fresh"	"free from impurities"	"water air"			
"fresh"	"not yet used or soiled"	"shirt sheet paper envelope"			
"fresh"	"improperly forward or bold"	"stranger child grownup impertinent boy"			
"ready"	"completely prepared or in condition for immediate action or use or progress"	"minute use action soup bridge ready"			
"ready"	"(of especially money) immediately available"	"cash money source"			
"ready"	"mentally disposed"				
"ready"	"made suitable and available for immediate use"	"dinner"			
"ready"	"apprehending and responding with speed and sensitivity"	"mind wit"			
"straight"	"successive (without a break)"	"day sick"			
"straight"	"having no deviations"	"road teeth shoulder line desert"			
"straight"	"(of hair) having no waves or curls"	"hair hung"			
"straight"	"erect in posture"	"stood sit"			
"straight"	"in keeping with the facts"	"report straight record fact"			
"straight"	"characterized by honesty and fairness"	"deal"			
"straight"	"no longer coiled"				
"straight"	"free from curves or angles"	"line"			
"straight"	"neatly arranged; not disorderly"	"room"			
"straight"	"not homosexual"				
"straight"	"accurately fitted; level"	"window frame"			
"straight"	"without evasion or compromise"	"contradiction"			
"straight"	"without water"	"neat"			
"straight"	"following a correct or logical method"				
"straight"	"rigidly conventional or old-fashioned"				
"bloody"	"having or covered with or accompanied by blood"	"scarf bloody fight effect"			
"bloody"	"informal intensifiers"	"nuisance crashing bore fool"			
"ritual"	"of or relating to or characteristic of religious rituals"	"killing"			
"ritual"	"of or relating to or employed in social rites or rituals"	"dance tribe tea Haiti party Nadine Gordimer"			
"thick"	"not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions"	"dust layer inch thick warm blanket butter board coating sandwich"			
"thick"	"having component parts closely crowded together"	"hair crowd population thick center shopping forest"			
"thick"	"relatively dense in consistency"	"thick cream soup smoke fog"			
"thick"	"spoken as if with a thick tongue"	"speech drunkard word"			
"thick"	"having a short and solid form or stature"	"leg wrestler man build heavyset thickset"			
